Nummer;CalculatedEmissionLowering;CalculatedEmission;FixedCharge;CalculatedConsumption;AdditionalHeatCost;CalculatedEnergySavings;ElectricityPrice;HeatSupplyCost;CalculatedEnergyConsumption;HeatSupply;ExtraCostPrYear;TotalProfitableInvestment;AdditionalHeat;PossibleEnergyLabelForAllProfitableProposals;TotalRecommendedInvestment;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYearForAllProposals;PossibleEnergyLabelForAllProposals;ExtraCostPrYear;TotalProfitableInvestment
311441489;0;341900;2978,5;5300;0;0;2,3;440;5300;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441490;909500;4073900;0;12100;0;4400;2,33;605,454545454546;20000;NaturalGas;2500;Kan ikke beregnes;Wood;C;0;0;2500;C;0;0
311441491;1826600;2578900;6497,5;36000;2000;24000;2;746,25;38800;DistrictHeat;20400;Kan ikke beregnes;Electricity;B;0;0;20400;A2010;16900;123100
311441506;5059700;5870700;0;21600;0;17900;2,185;978,217821782178;22100;FuelGasOil;16600;Kan ikke beregnes;Ingen;A2010;0;0;16600;A2010;16500;261600
311441507;272300;1733600;3140;18300;0;4200;2;565;26700;DistrictHeat;2400;Kan ikke beregnes;Ingen;C;0;0;2400;B;400;5300
311441508;4326300;4804200;0;12300;0;21200;2,14;519,090909090909;23600;NaturalGas;9700;Kan ikke beregnes;Ingen;D;0;0;9700;A2010;2600;9100
311441509;192600;793700;3137;8400;0;3100;2,33;418,165467625899;12500;DistrictHeat;1300;Kan ikke beregnes;Ingen;C;0;0;1300;B;200;3800
311441510;0;352300;3931,25;6300;0;0;2,25;425;5500;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441511;1430300;2393000;525;8600;0;7000;2,15;681,818181818182;11800;NaturalGas;6000;Kan ikke beregnes;Ingen;B;0;0;6000;A2010;4400;79200
311441512;778300;2312700;4182,64;24000;0;9000;1,93;555,48;35600;DistrictHeat;7000;Kan ikke beregnes;Ingen;B;0;0;7000;B;5100;100500
311441513;70200;695100;0;4600;0;300;1,297;1297;3600;Electricity;800;5000;Ingen;B;0;0;800;B;800;5000
311441514;0;-27214850;3420;7400;0;0;2;531,25;7400;DistrictHeat;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441515;601200;1467600;4604;19700;2330;2700;2,33;585,09;16600;DistrictHeat;7400;Kan ikke beregnes;Electricity;B;0;0;7400;B;6200;26300
311441529;7376300;8335500;0;52800;0;37400;1,247;1247;42400;Electricity;46900;Kan ikke beregnes;Ingen;C;0;0;46900;B;44000;461300
311441530;2717500;6138400;0;15700;0;13300;2,2;519,090909090909;30100;NaturalGas;6900;Kan ikke beregnes;Ingen;C;0;0;6900;C;5800;132300
311441531;0;379700;0;3000;0;0;1,547;1547;2000;Electricity;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441532;912300;8474200;0;21600;0;4500;1,9;519,090909090909;41600;NaturalGas;4300;Kan ikke beregnes;Ingen;D;0;0;4300;D;3700;37400
311441533;304100;1534900;0;10400;0;1500;1,327;1327;7800;Electricity;2700;Kan ikke beregnes;Ingen;A2010;0;0;2700;A2010;2200;40300
311441535;1129800;2223700;4674,64;25600;0;16900;2,2;610;34300;DistrictHeat;10700;Kan ikke beregnes;Ingen;B;0;0;10700;B;8600;221500
311441536;2437700;3000800;0;24400;1550;12700;1,55;1550;16900;Electricity;22100;Kan ikke beregnes;Electricity;A2010;0;0;22100;A2010;21100;295000
311441537;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441538;4574400;5071500;0;15100;0;22300;0;605,454545454546;24900;NaturalGas;11400;Kan ikke beregnes;Ingen;C;0;0;11400;A2010;6400;118800
311441556;-1261200;167500;0;26200;0;39700;2,33;525,773195876289;46900;WoodPellets;15800;Kan ikke beregnes;Ingen;D;0;0;15800;B;9900;106400
311441557;5923200;6958500;0;17800;0;28900;2,2;519,090909090909;34200;NaturalGas;10800;Kan ikke beregnes;Ingen;E;0;0;10800;B;0;0
311441558;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441559;230600;479700;1968,75;6300;0;1300;2,1;580;7400;DistrictHeat;2400;Kan ikke beregnes;Ingen;A2010;0;0;2400;A2015;0;0
311441560;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441561;0;1225300;4010;12100;0;0;2,25;425;18900;DistrictHeat;0;Kan ikke beregnes;Ingen;C;0;0;0;C;0;0
311441562;0;1530800;4770;16400;0;0;2,25;492,610837438424;23600;DistrictHeat;0;Kan ikke beregnes;Ingen;C;0;0;0;C;0;0
311441563;1601600;5461300;19547,5;50300;0;24700;2,2;365,72;84100;DistrictHeat;9000;Kan ikke beregnes;Ingen;B;0;0;9000;A2010;0;0
311441564;441300;1143400;2100;10700;0;6800;2,2;483,597122302158;17600;DistrictHeat;3200;Kan ikke beregnes;Ingen;C;0;0;3200;B;600;5000
311441565;480100;1097200;5215;13200;0;5000;0;468,75;16900;DistrictHeat;5400;Kan ikke beregnes;Ingen;C;0;0;5400;A2010;0;0
