Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
311146094;19100;14400;0;0;1320;5100;Kan ikke beregnes;555600;Ingen;2030400;DistrictHeat;0;3900;C;82800;C;5100;0;4000;0
300011665;0;0;0;0;0;0;Kan ikke beregnes;0;Ingen;0;;0;0;;0;;0;0;0;0
311219508;15200;26500;2,1;0;572,727272727273;10200;Kan ikke beregnes;3498600;Wood;5397900;NaturalGas;0;13900;A2010;0;B;10200;0;7900;114200
311333196;24900;13900;2,2;0;2200;14500;180200;399300;Wood;2119200;Electricity;367,727272727273;2400;C;0;C;14500;0;14500;180200
100073388;Er ikke beregnet;Er ikke beregnet;2;0;763,636363636364;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;A;0;;0;0
311401396;1900;1300;1,519;0;1519;0;Kan ikke beregnes;0;Ingen;240400;Electricity;0;0;A2020;0;A2020;0;0;0;0
311293362;4900;7700;2,2;0;635,454545454546;2600;Kan ikke beregnes;801300;Ingen;1568800;NaturalGas;0;2000;A2010;0;C;2600;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311419835;5300;3000;2,4;3454,36;585,09;0;Kan ikke beregnes;0;Ingen;195000;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
200032214;Er ikke beregnet;Er ikke beregnet;1,70000004768372;96309;0;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;D;65030;;69700;1400
311221105;600200;645700;2,2;221515,37;586,45;443700;Kan ikke beregnes;130461100;Ingen;91043700;DistrictHeat;0;268400;A2020;132400;A2020;443700;0;379200;1444300
310016842;6600;8300;2,1;0;800;0;Kan ikke beregnes;0;Ingen;1674900;NaturalGas;0;0;A2010;0;A2010;0;0;0;0
100255983;Er ikke beregnet;Er ikke beregnet;2,04;0;463,917525773196;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;WoodPellets;0;Er ikke beregnet;;;D;6800;;6100;99000
311156622;7000;9900;1,92;0;615,818181818182;600;Kan ikke beregnes;176700;Ingen;2313700;NaturalGas;0;900;C;0;C;600;0;0;0
311303055;4800;2900;2;3129,2;557,23;0;Kan ikke beregnes;0;Ingen;408900;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
311322850;9600;14700;2,1;0;656,363636363636;2400;Kan ikke beregnes;766900;Ingen;2980500;NaturalGas;0;1800;B;0;C;2400;0;0;0
311409448;18200;20700;2,1;4584,16;585,09;3700;67500;347400;Ingen;1470800;DistrictHeat;0;1800;C;0;C;3700;0;3700;67500
100148344;Er ikke beregnet;Er ikke beregnet;2,1;1220;597,33;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;C;900;;0;0
310036521;37100;34100;2;0;1089,10891089109;11100;105000;3681600;Ingen;9057300;FuelGasOil;0;5600;A2010;105000;A2010;11100;0;11100;0
100211450;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;;0;;0;0
311330755;13600;16300;2,2;4510,58;557,23;3300;Kan ikke beregnes;296800;Ingen;1059500;DistrictHeat;0;1500;A2010;0;B;3300;0;0;0
907601;Er ikke beregnet;Er ikke beregnet;0;0;816,831652317174;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C2;7100;;7100;1700
100053724;Er ikke beregnet;Er ikke beregnet;2;1031;504,98;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B2;0;;0;0
916006;Er ikke beregnet;Er ikke beregnet;1,55;0;794;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;DistrictHeat;436,363636363636;Er ikke beregnet;;;B2;0;;0;0
311154269;18043;18006;2,14;0;894,059405940594;12700;Kan ikke beregnes;3124600;Ingen;-2707720;FuelGasOil;0;17300;A2020;0;A2020;12700;0;12900;120000
311194496;264400;314400;2,2;81819,89;580,45;43000;Kan ikke beregnes;11986700;Ingen;44327600;DistrictHeat;0;40600;A2010;0;B;43000;0;26400;350000
311247265;20400;21500;2,2;5278,38;580,45;5500;Kan ikke beregnes;1591400;Electricity;3881900;DistrictHeat;2200;4000;B;0;B;5500;0;4600;81500
311164734;4800;3000;2,3;3054,27;580,45;0;Kan ikke beregnes;0;Ingen;420200;DistrictHeat;0;0;A2015;0;A2015;0;0;0;0
100268927;Er ikke beregnet;Er ikke beregnet;2;0;940,594059405941;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;20400;;2200;11600
311160027;22400;28100;2,06;0;797,029702970297;19900;Kan ikke beregnes;6696500;Wood;7466700;FuelGasOil;0;26900;A2010;0;B;19900;0;15300;219300
100267547;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;B;3500;;0;0
100111114;Er ikke beregnet;Er ikke beregnet;2;0;2000;Er ikke beregnet;200;Er ikke beregnet;;Er ikke beregnet;Electricity;0;Er ikke beregnet;;;C;3200;;3200;200
200018758;Er ikke beregnet;Er ikke beregnet;2;0;712,871287128713;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;D;7200;;1500;3500
311117825;12500;10800;1,8;3829,53;648,24;4300;Kan ikke beregnes;1376800;Ingen;2251400;DistrictHeat;0;2100;B;0;C;4300;0;2600;0
311351054;19400;38300;2,3;0;505,154639175258;8100;Kan ikke beregnes;450600;Ingen;0;WoodPellets;0;7800;C;0;D;8100;0;5900;110400
908321;Er ikke beregnet;Er ikke beregnet;1,72;1031;504,98;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;D1;0;;0;0
311178051;9100;9800;2,2;3353,31;580,45;4000;Kan ikke beregnes;1128300;Ingen;1373400;DistrictHeat;0;3400;A2020;46300;A2010;4000;0;2700;52500
311363599;47000;22000;2,2;0;2200;39500;Kan ikke beregnes;3536000;Wood;4179400;Electricity;387,4;18100;A2010;0;A2010;39500;0;38800;351700
311416668;8500;9500;2,2;2927,12;585,09;100;Kan ikke beregnes;16300;Ingen;613600;DistrictHeat;0;200;B;0;B;100;0;0;0
311132395;27100;43500;2,2;350;615,454545454545;7100;86700;2143600;Ingen;8857700;NaturalGas;0;3200;C;0;C;7100;0;7100;0
