id_lokalId;husnummer;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
c19e58eb-f4b6-4c64-8e32-37ad7daa3ee0;8c8c4461-adce-4f10-b217-6e6b6c3787e0;920;;;;1981;1984;;;;POINT(707588.82 6173073.66);5;6
c1a2fdca-05a7-4f70-bdd0-f5572653327f;0a3f507d-0636-32b8-e044-0003ba298018;130;230;228;;1974;;1;;2;POINT(699835.44 6172766.53);5;6
c1a3cebe-7880-4d86-bc96-9f102b0267ee;0a3f507d-04f4-32b8-e044-0003ba298018;910;;;;1000;1974;;;;POINT(703843.42 6175538.03);5;6
c1a4dedd-5d05-40c5-9a38-5db66a0b00b2;0a3f507d-1a17-32b8-e044-0003ba298018;920;;;;1999;;;;;POINT(701016.33 6169178.57);5;6
c1a4e34f-432d-4e5b-8558-5e3bcad0314e;0a3f507d-1f19-32b8-e044-0003ba298018;130;66;62;;1827;;3;3;90;;;10
c1a5129d-b039-4e2e-a568-40158cd985df;0a3f507c-edce-32b8-e044-0003ba298018;130;115;115;;1977;;2;7;2;POINT(700586.04 6172858.4);5;6
c1a5b090-409e-4a56-b063-13c645fae701;0a3f507d-254e-32b8-e044-0003ba298018;322;;;;;;;;;;;3
c1ac52a3-8215-4597-86e2-8ba1f5ad15ac;0a3f507d-2316-32b8-e044-0003ba298018;130;86;86;;2007;;1;;;POINT(708911.87 6172336.93);5;6
c1b22131-6655-4f31-b65b-e31e3fb4bf15;0a3f507c-f709-32b8-e044-0003ba298018;920;;;;1985;;;;;POINT(700900.6 6171187.2);5;6
c1b287c3-6fac-45cb-be68-4033233c4681;0a3f507d-0b2f-32b8-e044-0003ba298018;120;107;107;;1973;;2;7;2;POINT(703526.36 6175284.76);5;6
c1b2c866-6aef-46f1-a734-d49c00af6237;0a3f507d-137e-32b8-e044-0003ba298018;920;;;;1000;;;;;POINT(709360.33 6171501.19);5;6
c1b41641-23e2-4a5f-8b01-cccdfb1470b6;0a3f507d-180c-32b8-e044-0003ba298018;930;;;;2004;;;;;POINT(708115.59 6171514.08);5;6
c1b4a828-b977-4a29-bf15-7b3283b54130;0a3f507c-f98a-32b8-e044-0003ba298018;930;;;;2000;;;;;POINT(707537.79 6171845.98);5;6
c1b65950-1e69-4481-a7ce-15c8fbc9f3f1;0a3f507d-1588-32b8-e044-0003ba298018;120;119;119;;2006;;1;;;POINT(704558.32 6172111.67);5;6
c1b7cfa9-79e2-44ce-8694-3b561579c962;0a3f507d-1832-32b8-e044-0003ba298018;120;44;44;;;2016;;;;POINT(706771.93 6176093.29);5;9
c1b8cdf5-d7bc-4cb0-acfc-6911867b0dc1;0a3f507d-2120-32b8-e044-0003ba298018;930;;;;2004;;;;;POINT(701041.73 6170686.66);5;6
c1babb67-24a7-45df-8c97-d10a803ed1e6;0a3f507d-041e-32b8-e044-0003ba298018;910;;;;1976;;;;;POINT(701426.6 6171973.9);5;6
c1bedda9-d7d1-4b6d-ab26-540682496625;0a3f507d-2400-32b8-e044-0003ba298018;120;124;144;;1934;;1;;2;POINT(700629.86 6171884);5;6
